time,eta_0,eta_1,eta_2,eta_3,eta_4,eta_5,nu_0,nu_1,nu_2,nu_3,nu_4,nu_5,nu_diff_0,nu_diff_1,nu_diff_2,nu_diff_3,nu_diff_4,nu_diff_5,tau_0,tau_1,tau_2,tau_3,tau_4,tau_5
0.0,-0.004632569,0.013302889,-0.237863409,0.009349031,-0.002615499,0.044143108,-0.00341802,0.003641656,-0.008176686,-0.004523325,0.001375836,0.007454071,0.00642754,0.006013858,-0.005882627,-0.008633412,0.001866251,-0.327271182,0.566522629,-0.038224565,-3.709306282,-0.319601805,0.129173546,-1.208958979
0.09992480278015137,-0.004742093,0.013657443,-0.238572225,0.00871511,-0.002495225,0.041902189,-0.002533771,0.003939191,-0.008080763,-0.005113818,0.001778961,-0.032683732,0.00799664,0.003846066,-0.001106489,-0.006642431,0.003326422,-0.373636863,0.714338375,-0.187266342,-2.577232974,-0.388768759,0.077103197,-1.70898855
0.2003469467163086,-0.004743944,0.013946577,-0.239180036,0.008256474,-0.002046348,0.03551999,-0.001522187,0.003834978,-0.007471752,-0.004861251,0.002239824,-0.072657274,0.009480079,0.000424328,0.003931125,-0.000224758,0.004223965,-0.391905857,0.834488455,-0.371959047,-1.763735466,-0.314743743,0.069960846,-2.095446869
0.3024280071258545,-0.004616787,0.014095614,-0.23965855,0.007854627,-0.001772085,0.025627709,-0.000338329,0.003129494,-0.006459955,-0.003483295,0.00272373,-0.106341198,0.011131027,-0.004811088,0.008261923,0.009578264,0.004654535,-0.353359223,0.930240549,-0.609353338,-1.032906029,-0.195180201,0.060255329,-2.260316358
0.40471386909484863,-0.004375865,0.013995305,-0.239982548,0.007702331,-0.001360028,0.013226193,0.000877725,0.001564491,-0.005152591,-0.000980921,0.003302057,-0.125077532,0.011684776,-0.012183547,0.011450679,0.020046632,0.005365273,-0.234590449,1.003656086,-0.90578436,-0.309871809,-0.05855406,0.018076599,-2.052584884
0.504396915435791,-0.00409971,0.01363508,-0.240131917,0.00783882,-0.000922172,0.000262354,0.001788553,-0.000548966,-0.003655701,0.001782267,0.003860459,-0.12708382,0.009756216,-0.01815918,0.013707979,0.024977044,0.00544175,-0.08414578,0.880735565,-0.967957547,-0.092961543,-0.017566218,0.00542298,-1.39479609
0.6041848659515381,-0.003826174,0.013195246,-0.240101058,0.008369085,-0.000308225,-0.011979842,0.00239354,-0.002256932,-0.002047822,0.00414145,0.004363243,-0.119883313,0.007161774,-0.017403518,0.015367545,0.024007393,0.005152015,0.025159815,0.554777738,-0.71224826,-0.027888463,-0.005269865,0.001626894,-0.686094367
0.7051239013671875,-0.003584225,0.012729481,-0.239891399,0.008822635,0.000144432,-0.023170101,0.002677393,-0.003467661,-0.000368511,0.005693686,0.004664745,-0.108687099,0.004135501,-0.013696158,0.016365444,0.01806787,0.003656114,0.085921446,-0.020301931,-0.321489288,-0.008366539,-0.00158096,0.000488068,-0.223423687
0.8059368133544922,-0.003326366,0.012209081,-0.239511676,0.009537743,0.000766644,-0.033204232,0.002938449,-0.004458494,0.001312631,0.006499508,0.004643079,-0.093685072,0.003068047,-0.011044678,0.016677624,0.011061121,0.000945176,0.130790621,0.288351483,-0.266447977,-0.002509962,-0.000474288,0.00014642,-0.039282912
0.905987024307251,-0.003081367,0.01158548,-0.238988023,0.010170941,0.00128322,-0.040999967,0.00306746,-0.005497154,0.002915162,0.006623276,0.004191732,-0.071872013,0.00182349,-0.010584023,0.016221007,0.004184709,-0.00287588,0.191928596,0.337446055,-0.409297959,-0.000752988,-0.000142286,4.3926e-05,0.245816367
1.008126974105835,-0.002901936,0.01086621,-0.238352388,0.010730194,0.001712525,-0.04607576,0.002892225,-0.006540857,0.004390973,0.006154549,0.00343202,-0.041735408,-0.000679598,-0.010481129,0.015196978,-0.002025675,-0.006180744,0.268534818,0.381298056,-0.520905193,-0.000225897,-4.2686e-05,1.3178e-05,0.681749026
1.108557939529419,-0.00283241,0.010084848,-0.237639414,0.011394023,0.001995483,-0.047571985,0.002305071,-0.007411451,0.005670551,0.00518732,0.00246089,-0.003640939,-0.004233373,-0.009119,0.013340509,-0.007245552,-0.00851884,0.341993071,0.40362988,-0.530778583,-6.7769e-05,-1.2806e-05,3.953e-06,1.213077959
1.2083590030670166,-0.002863038,0.009373414,-0.2368963,0.011724258,0.002161628,-0.044691129,0.001496359,-0.007720608,0.006684892,0.003861691,0.001348093,0.040165742,-0.006930995,-0.004899801,0.011102543,-0.011453066,-0.010345232,0.409244694,0.488435538,-0.398076436,-0.50104471,-0.100208718,-0.014784977,1.752107092
1.308377981185913,-0.002970367,0.008828644,-0.236155576,0.012031258,0.002089045,-0.037396783,0.000585809,-0.007206263,0.007402335,0.002490897,9.1411e-05,0.08470501,-0.008453148,0.002130476,0.008352867,-0.01303148,-0.011900343,0.434548282,0.67104261,-0.111985726,-0.931547771,-0.186309487,-0.027379599,2.19436275
1.4093348979949951,-0.00316647,0.008607346,-0.235455202,0.01216208,0.001773329,-0.025787231,-0.000475437,-0.005495055,0.007780536,0.002313467,-0.001203051,0.120800047,-0.009964667,0.012617599,0.005153264,-0.005151454,-0.012631341,0.38302974,0.771487646,0.336392929,-1.37939297,-0.275878574,-0.038443819,2.364200896
1.509652853012085,-0.003365467,0.008942381,-0.234832866,0.012599757,0.001306728,-0.011995437,-0.001299351,-0.002006862,0.007760321,0.004350629,-0.002769888,0.138874799,-0.008756799,0.028202629,0.001404476,0.012714699,-0.014757257,0.241432191,0.754165115,1.097345918,-2.10320336,-0.316823276,-0.123178173,2.048875478
