__time,/xplorer_mini/gnc/auv_status/eta[0],/xplorer_mini/gnc/auv_status/eta[1],/xplorer_mini/gnc/auv_status/eta[2],/xplorer_mini/gnc/auv_status/eta[3],/xplorer_mini/gnc/auv_status/eta[4],/xplorer_mini/gnc/auv_status/eta[5],/xplorer_mini/gnc/auv_status/eta_ddiff[0],/xplorer_mini/gnc/auv_status/eta_ddiff[1],/xplorer_mini/gnc/auv_status/eta_ddiff[2],/xplorer_mini/gnc/auv_status/eta_ddiff[3],/xplorer_mini/gnc/auv_status/eta_ddiff[4],/xplorer_mini/gnc/auv_status/eta_ddiff[5],/xplorer_mini/gnc/auv_status/eta_diff[0],/xplorer_mini/gnc/auv_status/eta_diff[1],/xplorer_mini/gnc/auv_status/eta_diff[2],/xplorer_mini/gnc/auv_status/eta_diff[3],/xplorer_mini/gnc/auv_status/eta_diff[4],/xplorer_mini/gnc/auv_status/eta_diff[5],/xplorer_mini/gnc/auv_status/eta_e[0],/xplorer_mini/gnc/auv_status/eta_e[1],/xplorer_mini/gnc/auv_status/eta_e[2],/xplorer_mini/gnc/auv_status/eta_e[3],/xplorer_mini/gnc/auv_status/eta_e[4],/xplorer_mini/gnc/auv_status/eta_e[5],/xplorer_mini/gnc/auv_status/eta_ref[0],/xplorer_mini/gnc/auv_status/eta_ref[1],/xplorer_mini/gnc/auv_status/eta_ref[2],/xplorer_mini/gnc/auv_status/eta_ref[3],/xplorer_mini/gnc/auv_status/eta_ref[4],/xplorer_mini/gnc/auv_status/eta_ref[5],/xplorer_mini/gnc/auv_status/eta_ref_ddiff[0],/xplorer_mini/gnc/auv_status/eta_ref_ddiff[1],/xplorer_mini/gnc/auv_status/eta_ref_ddiff[2],/xplorer_mini/gnc/auv_status/eta_ref_ddiff[3],/xplorer_mini/gnc/auv_status/eta_ref_ddiff[4],/xplorer_mini/gnc/auv_status/eta_ref_ddiff[5],/xplorer_mini/gnc/auv_status/eta_ref_diff[0],/xplorer_mini/gnc/auv_status/eta_ref_diff[1],/xplorer_mini/gnc/auv_status/eta_ref_diff[2],/xplorer_mini/gnc/auv_status/eta_ref_diff[3],/xplorer_mini/gnc/auv_status/eta_ref_diff[4],/xplorer_mini/gnc/auv_status/eta_ref_diff[5],/xplorer_mini/gnc/auv_status/header/stamp/nanosec,/xplorer_mini/gnc/auv_status/header/stamp/sec,/xplorer_mini/gnc/auv_status/nu[0],/xplorer_mini/gnc/auv_status/nu[1],/xplorer_mini/gnc/auv_status/nu[2],/xplorer_mini/gnc/auv_status/nu[3],/xplorer_mini/gnc/auv_status/nu[4],/xplorer_mini/gnc/auv_status/nu[5],/xplorer_mini/gnc/auv_status/nu_diff[0],/xplorer_mini/gnc/auv_status/nu_diff[1],/xplorer_mini/gnc/auv_status/nu_diff[2],/xplorer_mini/gnc/auv_status/nu_diff[3],/xplorer_mini/gnc/auv_status/nu_diff[4],/xplorer_mini/gnc/auv_status/nu_diff[5],/xplorer_mini/gnc/auv_status/tau[0],/xplorer_mini/gnc/auv_status/tau[1],/xplorer_mini/gnc/auv_status/tau[2],/xplorer_mini/gnc/auv_status/tau[3],/xplorer_mini/gnc/auv_status/tau[4],/xplorer_mini/gnc/auv_status/tau[5],/xplorer_mini/gnc/auv_status/thrust_force[0],/xplorer_mini/gnc/auv_status/thrust_force[1],/xplorer_mini/gnc/auv_status/thrust_force[2],/xplorer_mini/gnc/auv_status/thrust_force[3],/xplorer_mini/gnc/auv_status/thrust_force[4],/xplorer_mini/gnc/auv_status/thrust_force[5],/xplorer_mini/gnc/auv_status/thrust_force[6],/xplorer_mini/gnc/auv_status/thrust_force[7]
1720790228.872044,-0.004632569,0.013302889,-0.237863409,0.009349031,-0.002615499,0.044143108,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.002240161,0.003354804,-0.007225407,-0.003486281,0.001034811,0.030891706,-0.008065848,0.006577077,-0.037863409,0.009349031,-0.002615499,0.044233197,0.003433279,0.006725812,-0.200000000,0.000000000,-0.000000000,-0.000090089,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,-0.000000000,566000000.000000000,87.000000000,-0.003418020,0.003641656,-0.008176686,-0.004523325,0.001375836,0.007454071,0.006427540,0.006013858,-0.005882627,-0.008633412,0.001866251,-0.327271182,0.566522629,-0.038224565,-3.709306282,-0.319601805,0.129173546,-1.208958979,-4.188140166,3.181472150,-1.224177582,-0.409666078,-1.429480073,-0.645982550,3.546788302,-3.899273144
1720790228.971969,-0.004742093,0.013657443,-0.238572225,0.008715110,-0.002495225,0.041902189,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.001423683,0.003439658,-0.007032046,-0.005396324,0.001135851,-0.006111345,-0.008175372,0.006931631,-0.038572225,0.008715110,-0.002495225,0.041992278,0.003433279,0.006725812,-0.200000000,0.000000000,-0.000000000,-0.000090089,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,-0.000000000,666000000.000000000,87.000000000,-0.002533771,0.003939191,-0.008080763,-0.005113818,0.001778961,-0.032683732,0.007996640,0.003846066,-0.001106489,-0.006642431,0.003326422,-0.373636863,0.714338375,-0.187266342,-2.577232974,-0.388768759,0.077103197,-1.708988550,-5.684469185,4.600008039,-1.033916327,-0.122899824,-1.226622058,-0.193794765,5.199709933,-5.459299976
1720790229.072391,-0.004743944,0.013946577,-0.239180036,0.008256474,-0.002046348,0.035519990,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000440065,0.003055831,-0.006364290,-0.004829343,0.003482891,-0.046508791,-0.008177223,0.007220765,-0.039180036,0.008256474,-0.002046348,0.035610079,0.003433279,0.006725812,-0.200000000,0.000000000,-0.000000000,-0.000090089,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,-0.000000000,766000000.000000000,87.000000000,-0.001522187,0.003834978,-0.007471752,-0.004861251,0.002239824,-0.072657274,0.009480079,0.000424328,0.003931125,-0.000224758,0.004223965,-0.391905857,0.834488455,-0.371959047,-1.763735466,-0.314743743,0.069960846,-2.095446869,-6.781858351,5.685930573,-0.725406596,-0.036869947,-0.943320493,-0.058138429,6.539695887,-6.672011131
1720790229.174472,-0.004616787,0.014095614,-0.239658550,0.007854627,-0.001772085,0.025627709,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000758086,0.001960009,-0.005258882,-0.004261734,0.002964712,-0.083198609,-0.008050065,0.007369802,-0.039658550,0.007854627,-0.001772085,0.025717798,0.003433279,0.006725812,-0.200000000,0.000000000,-0.000000000,-0.000090089,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,-0.000000000,868000000.000000000,87.000000000,-0.000338329,0.003129494,-0.006459955,-0.003483295,0.002723730,-0.106341198,0.011131027,-0.004811088,0.008261923,0.009578264,0.004654535,-0.353359223,0.930240549,-0.609353338,-1.032906029,-0.195180201,0.060255329,-2.260316358,-7.153646522,6.086977821,-0.402391468,-0.011060984,-0.602012048,-0.017441529,7.233421546,-7.225909474
1720790229.276758,-0.004375865,0.013995305,-0.239982548,0.007702331,-0.001360028,0.013226193,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.001880806,-0.000100393,-0.003801185,-0.002323687,0.003717255,-0.110068026,-0.007809144,0.007269493,-0.039982548,0.007702331,-0.001360028,0.013316282,0.003433279,0.006725812,-0.200000000,0.000000000,-0.000000000,-0.000090089,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,-0.000000000,970000000.000000000,87.000000000,0.000877725,0.001564491,-0.005152591,-0.000980921,0.003302057,-0.125077532,0.011684776,-0.012183547,0.011450679,0.020046632,0.005365273,-0.234590449,1.003656086,-0.905784360,-0.309871809,-0.058554060,0.018076599,-2.052584884,-6.357760545,5.313568356,-0.120717440,-0.003318295,-0.180603614,-0.005232459,6.798830826,-6.684066796
1720790229.376441,-0.004099710,0.013635080,-0.240131917,0.007838820,-0.000922172,0.000262354,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.002459425,-0.002502247,-0.002165436,0.000239581,0.004120067,-0.121987925,-0.007532989,0.006909268,-0.040131917,0.007838820,-0.000922172,0.000352444,0.003433279,0.006725812,-0.200000000,0.000000000,-0.000000000,-0.000090089,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,-0.000000000,70000000.000000000,88.000000000,0.001788553,-0.000548966,-0.003655701,0.001782267,0.003860459,-0.127083820,0.009756216,-0.018159180,0.013707979,0.024977044,0.005441750,-0.084145780,0.880735565,-0.967957547,-0.092961543,-0.017566218,0.005422980,-1.394796090,-4.275389674,3.303197447,-0.036215232,-0.000995489,-0.054181084,-0.001569738,4.779662825,-4.734839388
1720790229.476229,-0.003826174,0.013195246,-0.240101058,0.008369085,-0.000308225,-0.011979842,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.002652581,-0.003829512,-0.000433614,0.003783726,0.005533650,-0.122291755,-0.007259453,0.006469434,-0.040101058,0.008369085,-0.000308225,-0.011889753,0.003433279,0.006725812,-0.200000000,0.000000000,-0.000000000,-0.000090089,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,-0.000000000,170000000.000000000,88.000000000,0.002393540,-0.002256932,-0.002047822,0.004141450,0.004363243,-0.119883313,0.007161774,-0.017403518,0.015367545,0.024007393,0.005152015,0.025159815,0.554777738,-0.712248260,-0.027888463,-0.005269865,0.001626894,-0.686094367,-2.112976261,1.378785084,-0.010864570,-0.000298647,-0.016254325,-0.000470921,2.411343816,-2.504914048
1720790229.577168,-0.003584225,0.012729481,-0.239891399,0.008822635,0.000144432,-0.023170101,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.002489417,-0.004409207,0.001337526,0.004309970,0.004828694,-0.115019334,-0.007017504,0.006003669,-0.039891399,0.008822635,0.000144432,-0.023080011,0.003433279,0.006725812,-0.200000000,0.000000000,-0.000000000,-0.000090089,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,-0.000000000,270000000.000000000,88.000000000,0.002677393,-0.003467661,-0.000368511,0.005693686,0.004664745,-0.108687099,0.004135501,-0.013696158,0.016365444,0.018067870,0.003656114,0.085921446,-0.020301931,-0.321489288,-0.008366539,-0.001580960,0.000488068,-0.223423687,-0.633892878,0.413635525,-0.003259371,-0.000089594,-0.004876298,-0.000141276,0.723403145,-0.967103836
1720790229.677981,-0.003326366,0.012209081,-0.239511676,0.009537743,0.000766644,-0.033204232,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.002551837,-0.004965564,0.003059320,0.006298746,0.005804096,-0.104744717,-0.006759645,0.005483269,-0.039511676,0.009537743,0.000766644,-0.033114142,0.003433279,0.006725812,-0.200000000,0.000000000,-0.000000000,-0.000090089,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,-0.000000000,370000000.000000000,88.000000000,0.002938449,-0.004458494,0.001312631,0.006499508,0.004643079,-0.093685072,0.003068047,-0.011044678,0.016677624,0.011061121,0.000945176,0.130790621,0.288351483,-0.266447977,-0.002509962,-0.000474288,0.000146420,-0.039282912,-0.190167863,-0.215911724,-0.000977811,-0.000026878,-0.001462889,-0.000042383,0.217020943,-0.290131151
1720790229.778031,-0.003081367,0.011585480,-0.238988023,0.010170941,0.001283220,-0.040999967,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.002480544,-0.005854879,0.004583367,0.006322013,0.005357259,-0.085993562,-0.006514646,0.004859668,-0.038988023,0.010170941,0.001283220,-0.040909878,0.003433279,0.006725812,-0.200000000,0.000000000,-0.000000000,-0.000090089,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,-0.000000000,470000000.000000000,88.000000000,0.003067460,-0.005497154,0.002915162,0.006623276,0.004191732,-0.071872013,0.001823490,-0.010584023,0.016221007,0.004184709,-0.002875880,0.191928596,0.337446055,-0.409297959,-0.000752988,-0.000142286,0.000043926,0.245816367,0.643642408,-1.271883289,-0.000293343,-0.000008063,-0.000438867,-0.000012715,-0.667755044,0.429174735
